Have you Heard of Mishka's in Downtown Davis?,UC Davis student?,Class Standing,Home Address,How often visit coffee shops?,Do you go to a coffee shop to,What do you like to see at a coffee shop?,how often do you get coffee to go?,likeliness to use mobile app,Preffered Coffee Shop,How often do you go to Mishka's?,What are the top problems you have with Mishka's? (Select up to 3),What top improvements would you most like to see at Mishka's? (Select up to 3),Mishka’s quality of drinks meets my standards,Mishka’s provides a variety of drinks and pastries,good dietary preferences,Mishka's fair pricing,Mishka's is convenient,Mishkas has good seating,Mishka’s has customizable options,Mishka’s sales and advertisements influence my visits
,No,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,
No,Yes,Freshman,Downtown Davis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,5th year or higher,Downtown Davis,Never,,,,,,,,,,,,,,,,
,,,,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Senior,East Davis,Rarely; once or twice a month,hang out with friends,Great Prices;Good Study Area;Quiet atmosphere;Great Coffee,About half the time,Neither likely nor unlikely,Philz,I've only gone a couple times,The products I want are not available in Mishka’s;Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Add more drinks to the menu;Create a rewards program for frequent customers,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat uncomfortable,Somewhat agree,Neither agree nor disagree
Yes; I go often,Yes,Senior,North Davis,A couple times a week,study alone;study with friends;hang out with friends,Great Prices;Good Study Area;Great Coffee,Rarely,Slightly unlikely,Mishka's,About once a week,Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat comfortable,Strongly agree,Neither agree nor disagree
Yes; I go often,Yes,Junior,Downtown Davis,A couple times a week,study alone;study with friends;grab coffee to go,Great Prices;Rewards Program;Good Study Area;Quiet atmosphere;Great Coffee,Most of the time,Very likely,Mishka's,About once a week,Find a better price in other coffee shops;Wifi is slow,Add more tables dedicated to studying;Create a mobile app;Improve service,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Extremely comfortable,Strongly agree,Somewhat disagree
Yes; but I've only gone a couple times,Yes,Senior,North Davis,A couple times a week,grab coffee to go;hang out with friends,Great Prices;Good Study Area;Great Coffee,About half the time,Slightly unlikely,Mishka's,I've only gone a couple times,Find a better price in other coffee shops,Lower the prices,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat comfortable,Strongly agree,Neither agree nor disagree
Yes; but I've only gone a couple times,Yes,Senior,Downtown Davis,A couple times a week,study alone;grab coffee to go,Great Prices;Good Study Area;Fast Service;Quiet atmosphere;Great Coffee,About half the time,Slightly unlikely,Other,I've only gone a couple times,Find a better price in other coffee shops;Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Lower the prices;Improve service,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree
Yes; but I've only gone a couple times,Yes,Senior,East Davis,A couple times a week,grab coffee to go,Mobile App;Great Prices;Rewards Program;Good Study Area;Fast Service;Great Coffee,Most of the time,Neither likely nor unlikely,Starbucks,I've only gone a couple times,Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Create a rewards program for frequent customers,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Strongly agree,Neither agree nor disagree
,,,,Never,,,,,,,,,,,,,,,,
,,,,Never,,,,,,,,,,,,,,,,
No,Yes,Freshman,On Campus,Rarely; once or twice a month,grab coffee to go;hang out with friends,Good Study Area;Quiet atmosphere;Great Coffee,Most of the time,Moderately likely,Starbucks,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Junior,North Davis,Every day,grab coffee to go;hang out with friends,Mobile App;Great Prices;Rewards Program;Good Study Area;Fast Service;Great Coffee,I always get coffee to go,Moderately likely,Other,I've only gone a couple times,Find a better price in other coffee shops,Create a rewards program for frequent customers,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat agree,Somewhat agree
No,Yes,Junior,On Campus,Never,,,,,,,,,,,,,,,,
No,Yes,Senior,North Davis,A couple times a week,grab coffee to go;hang out with friends,Mobile App;Great Prices;Rewards Program;Good Study Area;Fast Service;Quiet atmosphere;Great Coffee,Most of the time,Slightly likely,Starbucks,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Junior,On Campus,A couple times a week,grab coffee to go,Good Study Area,Most of the time,Very likely,Starbucks,I've only gone a couple times,Find a better price in other coffee shops;Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying;Create a rewards program for frequent customers;Lower the prices,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat uncomfortable,Neither agree nor disagree,Somewhat disagree
Yes; but I've only gone a couple times,Yes,Junior,East Davis,A couple times a week,study with friends;grab coffee to go,Good Study Area;Quiet atmosphere,Most of the time,Very likely,Temple Coffee,I've only gone a couple times,Can’t find seating area in Mishka’s;Wifi is slow,Add more tables dedicated to studying,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree;Somewhat disagree,Somewhat uncomfortable,Somewhat agree,Strongly agree
No,Yes,Junior,North Davis,Rarely; once or twice a month,grab coffee to go,Rewards Program;Good Study Area,Most of the time,Neither likely nor unlikely,Temple Coffee,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Sophomore,South Davis,Rarely; once or twice a month,study alone,Rewards Program;Good Study Area;Quiet atmosphere,I always get coffee to go,Moderately likely,Other,I've only gone a couple times,Waiting time in Mishka’s is too long;Can’t find seating area in Mishka’s;Wifi is slow,Create a rewards program for frequent customers;Lower the prices,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat agree
No,Yes,Junior,On Campus,Never,,,,,,,,,,,,,,,,
No,Yes,Freshman,On Campus,Never,,,,,,,,,,,,,,,,
No,Yes,Freshman,On Campus,Rarely; once or twice a month,grab coffee to go,Great Prices;Fast Service;Great Coffee,Most of the time,Slightly likely,Starbucks,,,,,,,,,,,
No,Yes,Junior,North Davis,Rarely; once or twice a month,study alone;study with friends,Mobile App;Great Prices;Good Study Area;Fast Service;Quiet atmosphere,Rarely,Very likely,Philz,,,,,,,,,,,
No,Yes,Freshman,On Campus,Never,,,,,,,,,,,,,,,,
No,Yes,Sophomore,North Davis,Rarely; once or twice a month,grab coffee to go,Mobile App;Great Prices;Fast Service,I always get coffee to go,Moderately likely,Starbucks,,,,,,,,,,,
No,Yes,Sophomore,North Davis,Rarely; once or twice a month,grab coffee to go,Fast Service;Great Coffee,Most of the time,Neither likely nor unlikely,Other,,,,,,,,,,,
No,Yes,Senior,North Davis,Never,,,,,,,,,,,,,,,,
No,Yes,Senior,North Davis,Every day,study with friends,Great Coffee,Most of the time,Very likely,Philz,,,,,,,,,,,
No,Yes,Junior,North Davis,Never,,,,,,,,,,,,,,,,
No,Yes,Sophomore,South Davis,Rarely; once or twice a month,grab coffee to go,Great Prices;Rewards Program;Good Study Area,I always get coffee to go,Moderately likely,Starbucks,,,,,,,,,,,
No,Yes,5th year or higher,North Davis,Every day,grab coffee to go,Great Prices;Rewards Program;Good Study Area;Fast Service;Great Coffee,Most of the time,Moderately likely,Other,,,,,,,,,,,
No,Yes,Senior,Downtown Davis,Rarely; once or twice a month,grab coffee to go;hang out with friends,Great Prices;Rewards Program;Good Study Area;Great Coffee,About half the time,Moderately likely,Philz,,,,,,,,,,,
No,Yes,Sophomore,On Campus,Rarely; once or twice a month,grab coffee to go,Great Coffee,I always get coffee to go,Neither likely nor unlikely,Other,,,,,,,,,,,
No,Yes,Junior,South Davis,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Freshman,On Campus,Every day,grab coffee to go,Great Prices;Rewards Program;Good Study Area;Great Coffee,About half the time,Slightly unlikely,Other,I've only gone a couple times,Find a better price in other coffee shops,Create a rewards program for frequent customers;Lower the prices,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat comfortable,Neither agree nor disagree,Neither agree nor disagree
No,Yes,Junior,Downtown Davis,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Sophomore,South Davis,Rarely; once or twice a month,grab coffee to go,Great Prices;Great Coffee,I always get coffee to go,Neither likely nor unlikely,Other,I've only gone a couple times,Wifi is slow,Add more tables dedicated to studying;Improve service,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Extremely comfortable,Neither agree nor disagree,Neither agree nor disagree
No,Yes,Freshman,On Campus,A couple times a week,study with friends,Good Study Area,About half the time,Slightly unlikely,Other,,,,,,,,,,,
No,Yes,Junior,Downtown Davis,Rarely; once or twice a month,grab coffee to go,Great Prices;Good Study Area;Great Coffee,I always get coffee to go,Slightly unlikely,Philz,,,,,,,,,,,
No,Yes,Sophomore,On Campus,A couple times a week,study alone,Quiet atmosphere;Great Coffee,I always get coffee to go,Neither likely nor unlikely,Philz,,,,,,,,,,,
No,Yes,Senior,North Davis,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Freshman,On Campus,Rarely; once or twice a month,study alone;study with friends,Great Prices;Good Study Area;Fast Service,Rarely,Slightly unlikely,Mishka's,I've only gone a couple times,Can’t find seating area in Mishka’s,Add more tables dedicated to studying,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat comfortable,Somewhat agree,Neither agree nor disagree
No,Yes,Senior,North Davis,Never,,,,,,,,,,,,,,,,
Yes; but I've only gone a couple times,Yes,Senior,South Davis,A couple times a week,study alone,Great Prices;Good Study Area,Rarely,Slightly unlikely,Other,,,,,,,,,,,